isbn,rating
9780006550686,3.9
9780380975853,3.4
9780143066569,3.8
9780679444626,4
9780143065883,3.8
9788185986005,4.2
9780007432974,3.9
9780763762711,3
9798189815065,4
9780061130366,3.9
9780393337815,3.3
9780824840952,3
9788184000573,3.6
9781416562603,3.7
9780141027289,3.4
9788171673407,4.2
9780140120493,3.8
9781400096206,4.1
9789380658742,4
9781780874043,4
9780874771930,4
9780874776386,4
9781419723445,4.9
9780804011648,3.9
9780895944757,4.2
9781886913028,4.5
9781573223591,5
9780446390385,5
9780060287047,3.3
9781580080934,4
9781582970684,3.2
9781579905125,4
9781582975276,4
9780982922804,5
9780713905847,3.5
9780575075573,4
9781841493893,3.9
9780450006517,3.8
9780879977429,3.6
9780399110719,3.7
9780140311198,4
9781590192689,4.9
9780395264706,3.8
9780575032118,3.7
9780886775896,5
9782221037065,3.5
9780345289155,3.7
9780575006515,3.4
9781250056887,4.1
9780879970307,3.5
9781516806348,3.3
9780425052167,3.9
9780586039397,3.9
9780312868253,3.6
9780140236415,4.3
9781412115599,3.84
9780837176970,3.3
9781101568507,3.9
9781484180761,4
9780747202370,3.9
9781572702653,4
9780307705266,4
9780140129588,3.9
9781596880481,3.4
9781448215164,4.3
9785170119516,3.7
9784003234259,4.3
9780553293197,4
9781497564350,3.9
9780099541523,3.8
9780330245791,3.9
9783735101693,4.1
9780394280448,3.4
