isbn,Bookname
9780874771930,A Life of One's Own by Joana Field
9780874776386,At a Journal Workshop by Ira Progoff
9781419723445,The New Diary
9780804011648,The Creative Journal
9780895944757,Ariadne's Thread
9781886913028,A Book of One's Own
9781573223591,The Journal Book
9780446390385,Journal to the Self
9780060287047,A Voice of Her Own
9781580080934,How to Make a Journal of Your Life by Dan Price
9781582970684,Keeping a Journal You Love by Sheila Bender
9781579905125,The Decorated Page
9781582975276,Write for Life
9780982922804,Narrative Journaling
9780713905847,The Private Life of the Diary
