isbn,book name
9780140236415,An evil cradling
9781412115599,Arms and the Man
9780837176970,Beyond the Mexique Bay
9781101568507,Blue Remembered Earth
9781484180761,Cabbages and Kings
9780747202370,Carrion Comfort
9781572702653,Clouds of Witness
9780307705266,A Catskill Eagle
9780140129588,Cover Her Face
9781596880481,The Cricket on the Hearth
9781448215164,The daffodil sky
9785170119516,Endless Night
9784003234259,Gone with the Wind
9780553293197,Great Work of Time
9781497564350,The House of Mirth
9780099541523,Tender Is the Night
9780330245791,To a God Unknown
9783735101693,The Waste Land
9780394280448,The Wives of Bath
