a book of one's own,2.75
a catskill eagle,2.3333333333
a life of one's own by joana field,2
a tale of the ragged mountains,1.1
a voice of her own,2.375
absolution gap,3.25
accelerando,-0.5
an evil cradling,0.1
an obedient father ,-1.625
ariadne's thread,3.125
arms and the man,5.5
at a journal workshop by ira progoff,0.9166666667
between planets,1.3
beyond the mexique bay,0.5
blue remembered earth,0.2
by the light of the green star,1.5
cabbages and kings,0.6
carrion comfort,1.6
cemetery world,-0.5
citizen of the galaxy,-0.5
clouds of witness,2.375
cover her face,3.75
dreamsnake,2.875
emperors of the twilight ,5
endless night,2.5
fire on the mountain,0.75
five point someone,0.5
god of small things,4
gone with the wind,-2.125
great work of time,2.5
how to make a journal of your life by dan price,2.8
immortals of meluha,0.75
imperial earth ,2.1
journal to the self,3.6
keeping a journal you love by sheila bender,2.4
midnight's children,-2.25
narrative journaling,-1.5833333333
one million tomorrows,-0.4
sacred games,3.3333333333
shadow lines,2.3
stranger in a strange land ,1.5
swami and friends,5.3333333333
tender is the night,1.1666666667
the blue umbrella,4
the calcutta chromosome,3.125
the creative journal,1
the cricket on the hearth,3.4
the daffodil sky,1.7
the decorated page,4
the dragon masters,5.5
the eye of the heron,4
the female man,-0.5
the great indian novel,2.9
the guide,-2
the house of mirth,2.875
the hungry tide,0
the immortals,-0.7
the inheritance of loss ,2.25
the journal book,-1.7
the lost planet ,2.25
the new diary,0.125
the palace of illusions,0.3333333333
the private life of the diary,3
the secret of the nagas,0.5
the void captain's tale,-0.4
the waste land,-3.375
the white tiger ,1.6
the wives of bath,-0.1
to a god unknown,0.3
to your scattered bodies go,-0.5
train to pakistan,-0.2
under the green star,3.1666666667
write for life,1.3333333333
