a book of one's own,3.625
a catskill eagle,3.16666666665
a life of one's own by joana field,3.0
a tale of the ragged mountains,2.2
a voice of her own,2.8375
absolution gap,3.625
accelerando,1.7
an evil cradling,2.2
an obedient father ,0.8375
ariadne's thread,3.6625
arms and the man,4.67
at a journal workshop by ira progoff,2.45833333335
between planets,2.55
beyond the mexique bay,1.9
blue remembered earth,2.05
by the light of the green star,2.55
cabbages and kings,2.3
carrion comfort,2.75
cemetery world,1.6
citizen of the galaxy,1.75
clouds of witness,3.1875
cover her face,3.825
dreamsnake,3.3375
emperors of the twilight ,5.0
endless night,3.1
fire on the mountain,2.175
five point someone,2.25
god of small things,3.95
gone with the wind,1.0875
great work of time,3.25
how to make a journal of your life by dan price,3.4
immortals of meluha,2.375
imperial earth ,2.9
journal to the self,4.3
keeping a journal you love by sheila bender,2.8
midnight's children,0.875
narrative journaling,1.70833333335
one million tomorrows,1.5
sacred games,3.61666666665
shadow lines,3.05
stranger in a strange land ,2.7
swami and friends,4.76666666665
tender is the night,2.48333333335
the blue umbrella,4.1
the calcutta chromosome,3.2625
the creative journal,2.45
the cricket on the hearth,3.4
the daffodil sky,3.0
the decorated page,4.0
the dragon masters,5.2
the eye of the heron,3.85
the female man,1.5
the great indian novel,3.35
the guide,0.5
the house of mirth,3.3875
the hungry tide,1.95
the immortals,1.15
the inheritance of loss ,2.825
the journal book,1.65
the lost planet ,3.175
the new diary,2.5125
the palace of illusions,2.21666666665
the private life of the diary,3.25
the secret of the nagas,2.25
the void captain's tale,1.6
the waste land,0.3625
the white tiger ,2.65
the wives of bath,1.65
to a god unknown,2.1
to your scattered bodies go,1.7
train to pakistan,1.8
under the green star,3.33333333335
write for life,2.66666666665
